# This file is generated on 26-Aug-2022 at 15:50:58 and contains for each site, each satellite, frequency:
# att_comb = total attenuation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Total attenuation results are sorted acording to the site identification number:
#    _ 1 = Ljubljana 37.5GHz (Lat = 4.6040e+01 deg, Lon = 1.4512e+01 deg, Alt = 2.9800e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_comb (dB)
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 4.5000e-02, 5.4953e+01
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 7.7000e-02, 4.5357e+01
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 1.3000e-01, 3.7100e+01
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 2.1000e-01, 3.0471e+01
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 3.5000e-01, 2.4606e+01
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 6.0000e-01, 1.9480e+01
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 9.5000e-01, 1.5849e+01
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 1.7000e+00, 1.2121e+01
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 3.0000e+00, 9.2601e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 5.1000e+00, 7.0970e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 8.3000e+00, 5.4542e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 1.2000e+01, 4.3857e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 1.9000e+01, 3.2148e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 3.0000e+01, 2.3014e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 4.0000e+01, 1.9502e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 5.5000e+01, 1.6568e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 7.2000e+01, 1.5573e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 9.0000e+01, 1.5123e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 9.9000e+01, 1.5029e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 1.0000e-03, 1.2658e+02
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 2.0000e-03, 1.1222e+02
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 5.0000e-03, 9.1549e+01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 8.0000e-03, 8.0924e+01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 1.0000e-02, 7.5992e+01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 1.6000e-02, 6.5988e+01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 2.7000e-02, 5.5656e+01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 4.5000e-02, 4.6568e+01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 7.7000e-02, 3.8186e+01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 1.3000e-01, 3.1031e+01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 2.1000e-01, 2.5334e+01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 3.5000e-01, 2.0313e+01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 6.0000e-01, 1.5956e+01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 9.5000e-01, 1.2894e+01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 1.7000e+00, 9.7769e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 3.0000e+00, 7.4075e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 5.1000e+00, 5.6373e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 8.3000e+00, 4.3084e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 1.2000e+01, 3.4525e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 1.9000e+01, 2.5234e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 3.0000e+01, 1.8029e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 4.0000e+01, 1.5240e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 5.5000e+01, 1.2903e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 7.2000e+01, 1.2057e+00
