# This file is generated on 26-Aug-2022 at 15:50:58 and contains for each site, each satellite, frequency:
# att_scin = attenuation due to scintillation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Ljubljana 37.5GHz (Lat = 4.6040e+01 deg, Lon = 1.4512e+01 deg, Alt = 2.9800e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_scin (dB)
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.0000e-03, 1.2141e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 2.0000e-03, 1.0876e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 5.0000e-03, 9.3857e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 8.0000e-03, 8.6934e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.0000e-02, 8.3804e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.6000e-02, 7.7521e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 2.7000e-02, 7.0982e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 4.5000e-02, 6.5015e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 7.7000e-02, 5.9133e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.3000e-01, 5.3736e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 2.1000e-01, 4.9042e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 3.5000e-01, 4.4259e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 6.0000e-01, 3.9405e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 9.5000e-01, 3.5382e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.7000e+00, 3.0384e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 3.0000e+00, 2.5550e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 5.1000e+00, 2.1015e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 8.3000e+00, 1.6792e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.2000e+01, 1.3530e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.9000e+01, 9.3577e-01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 3.0000e+01, 5.0616e-01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 4.0000e+01, 2.2646e-01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 5.5000e+01, -9.2577e-02
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 7.2000e+01, -3.7093e-01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 9.0000e+01, -6.0798e-01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 9.9000e+01, -7.1111e-01
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 1.0000e-03, 5.3089e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 2.0000e-03, 4.7558e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 5.0000e-03, 4.1041e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 8.0000e-03, 3.8014e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 1.0000e-02, 3.6645e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 1.6000e-02, 3.3898e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 2.7000e-02, 3.1038e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 4.5000e-02, 2.8429e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 7.7000e-02, 2.5857e+00
