# This file is generated on 26-Aug-2022 at 15:52:19 and contains for each site, each satellite, frequency:
# att_comb = total attenuation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Total attenuation results are sorted acording to the site identification number:
#    _ 1 = Ljubljana 37.5GHz (Lat = 4.6040e+01 deg, Lon = 1.4512e+01 deg, Alt = 2.9800e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_comb (dB)
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.0000e-03, 9.1766e+01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 2.0000e-03, 8.0322e+01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 5.0000e-03, 6.4324e+01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 8.0000e-03, 5.6269e+01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.0000e-02, 5.2564e+01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.6000e-02, 4.5112e+01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 2.7000e-02, 3.7504e+01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 4.5000e-02, 3.0886e+01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 7.7000e-02, 2.4849e+01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.3000e-01, 1.9802e+01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 2.1000e-01, 1.5872e+01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 3.5000e-01, 1.2440e+01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 6.0000e-01, 9.5198e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 9.5000e-01, 7.5154e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.7000e+00, 5.5228e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 3.0000e+00, 4.0543e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 5.1000e+00, 2.9998e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 8.3000e+00, 2.2401e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.2000e+01, 1.7687e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.9000e+01, 1.2763e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 3.0000e+01, 9.0316e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 4.0000e+01, 7.5337e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 5.5000e+01, 6.2666e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 7.2000e+01, 5.7036e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 9.0000e+01, 5.3607e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 9.9000e+01, 5.2444e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.0000e-03, 9.1274e+01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 2.0000e-03, 7.9864e+01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 5.0000e-03, 6.3922e+01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 8.0000e-03, 5.5897e+01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.0000e-02, 5.2207e+01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.6000e-02, 4.4784e+01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 2.7000e-02, 3.7207e+01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 4.5000e-02, 3.0618e+01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 7.7000e-02, 2.4607e+01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.3000e-01, 1.9587e+01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 2.1000e-01, 1.5682e+01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 3.5000e-01, 1.2272e+01
